#;status_id;screen_name;created_at;text;location;lang;hashtag;servicio;FALLA
431;1,48E+18;emaficse;5/1/2022 15:28;Vaya idiotez!!! En @Salud_Ec se gradúan de pendejos.... esa gente tomará buses como si nada y ya saben!!! https://t.co/eOWUiUshK2;Guayaquil - Ecuador;es;buses;transporte;si
432;1,48E+18;emoscoso73;5/1/2022 11:47;Son varios los siniestros de tránsito en los ultimos meses que involucran transporte público, amerita el incremento de control en carreteras y en los terminales, así como revisión de las aptitudes de los conductores. @tomebamba https://t.co/kbWjoYD80l;Cuenca, Ecuador;es;transporte puplico;transporte;si
433;1,48E+18;emov_ep;5/1/2022 21:27;"No arriesgue su vida. Utilice transporte público debidamente identificado. 

#UtiliceTransporteFormal 
#EnLaEmovSíConfío

@MunicipioCuenca 
@pedropalaciosu 
@TCNLJuanAguirre https://t.co/1CeFNh0TI6";Cuenca, Ecuador;es;transporte puplico;transporte;no
434;1,48E+18;ereyesilva20;4/1/2022 19:32;@luisantonio_r @ATMGuayaquil @24HorasGYE Que el distanciamiento se respete no solo en las paradas de la Metrovia sino en el aforo que debe existir dentro del bus... De nada sirve que controlen el distanciamiento en la parada si la gente está como sardina;Ecuador Guayaquil;es;metrovia;transporte;si
435;1,48E+18;ErmelRosario;4/1/2022 3:06;"<U+0001F198><U+FE0F>EL CABALE GANA TERRENO PEDIRÁN CARNET HASTA EN LOS TRANSPORTES PÚBLICOS<U+0001F198><U+FE0F><U+0001F198><U+FE0F>
#Rebaño 
COE Nacional pide a ANT Ecuador, medidas de seguridad en transporte público para evitar contagios masivos.
Pasajeros presentarán carné de vacunación para ingresar a los buses. https://t.co/ZEitI45I8R";Guayaquil - Ecuador;es;transporte puplico;transporte;no
436;1,48E+18;ErmelRosario;4/1/2022 3:06;"<U+0001F198><U+FE0F>EL CABALE GANA TERRENO PEDIRÁN CARNET HASTA EN LOS TRANSPORTES PÚBLICOS<U+0001F198><U+FE0F><U+0001F198><U+FE0F>
#Rebaño 
COE Nacional pide a ANT Ecuador, medidas de seguridad en transporte público para evitar contagios masivos.
Pasajeros presentarán carné de vacunación para ingresar a los buses. https://t.co/ZEitI45I8R";Guayaquil - Ecuador;es;buses;transporte;no
437;1,48E+18;EudoroA;5/1/2022 13:14;@Expresoec Pero debería comenzar con la Metrovía ojalas Expreso le haga seguimiento al tema  y no quede como una noticia más @forajidoqueve @maz2909 @joel_chancay @crgcristobal @Suarez_Wilmer;Guayaquil Ecuador;es;metrovia;transporte;si
438;1,48E+18;Expresoec;30/12/2021 3:00;En el Trolebus, la Ecovía y los alimentadores se han establecido horas de inicio de la prestación de servicio distintas a las usuales. https://t.co/9BPHls3Q95;Guayaquil;es;alimentadores;transporte;no
439;1,48E+18;Expresoec;4/1/2022 21:50;Al menos tres personas fallecidas y 18 heridas dejó un siniestro de tránsito registrado en la vía Loja - Catamayo, según información proporcionada por el sistema de emergencias ECU-911. En el accidente está involucrado un bus de transporte público. https://t.co/6CmcSioo1K;Guayaquil;es;transporte puplico;transporte;no
440;1,48E+18;Expresoec;5/1/2022 12:29;#DebateExpreso: ¿Consideras necesario, frente al aumento de casos de COVID, que también se pida el carné de vacunación para acceder al transporte público urbano ?;Guayaquil;es;transporte puplico;transporte;no
441;1,48E+18;Expresoec;3/1/2022 23:40;La Comisión de Tránsito del Ecuador (CTE) destacó los resultados de los controles efectuados durante el feriado de año nuevo. Según indicó su director, Carlos Balarezo, no hubo siniestros en los buses interprovinciales e intercantonales.;Guayaquil;es;buses;transporte;no
442;1,48E+18;FernandoAlburq;30/12/2021 4:25;@omarmaluk La @alcaldiagye como es vengativa es capaz de ponerle una multa y le caen de madrugada como si fuera delincuente solo por esta obra emblemática la metro sardina. https://t.co/34OtN9zQrz;Guayaquil, Ecuador;es;la metro;transporte;si
443;1,48E+18;fervel1972;30/12/2021 21:21;"@metroviagye porque si uno toma el servicio express de la metrovia desde el sur para llegar más rápido al terminal rio daule
..lo dejan en la parada del cuartel modelo y lo hacen esperar bastantisisismo tiempo!?";Guayaquil, Ecuador;es;metrovia;transporte;si
444;1,48E+18;fierrofonseca;31/12/2021 2:30;@elcomerciocom Hasta en la metrovia se embarcan sin mascarilla y todos bien gracias nadie hace nada de nada todo se centra en el negociado de las supuestas vacunas que están por caducar;Guayaquil, Ecuador;es;metrovia;transporte;si
445;1,48E+18;flaca1594;4/1/2022 1:37;@MemeBipoIar El mall, los bancos, las calles y los buses vacíos;Guayaquil, Ecuador;es;buses;transporte;no
446;1,48E+18;FlorPD;2/1/2022 0:39;"@paultutiven @teleamazonasec En el cantón #Guayaquil no existe autoridad de tránsito. Así de simple.
A @alcaldiagye le quedó enorme el tránsito y el transporte público.
Debemos volver a lo básico. Y que vayan a sus casas los coroneles y generales de ""tránsito"".
@Blankimonki";Tampa Bay Area;es;transporte puplico;transporte;si
447;1,48E+18;fmaldonado1112;5/1/2022 11:28;@luisantonio_r No es ninguna novedad, tengo mi oficina en la zona y es de todos los días. Buses, motos, autos, etc. no respetan las leyes, nunca hay un patrullero la @ATMGuayaquil no existe en la ciudad, ellos solo sirven para sancionar y no para prever un accidente.;Guayaquil, Ecuador;es;buses;transporte;no
448;1,48E+18;Gandybala;28/12/2021 18:03;@EmergenciasEc Bus de la Metrovia se incendio;Guayaquil;es;metrovia;transporte;no
449;1,48E+18;GAYAVACA;4/1/2022 22:17;ANT prepara protocolo para pedir carnets de vacunación en transporte público https://t.co/5x38Mp9RTn;CUENCA ECUADOR;es;transporte puplico;transporte;no
450;1,48E+18;gdannexx;3/1/2022 12:34;@Urb_MuchoLote2 @urvaseo @alcaldiagye El tema de parqueo de vehículos grandes tiene tiempo, llegan cabezales, volquetas, buses, etc, que ocupan parqueos destinados a vehículos livianos.;Guayaquil, Ecuador;es;buses;transporte;si
451;1,48E+18;geochambers;3/1/2022 14:13;@UnCafeConJJ Municipio y ATM abudivamente continuan arbitrario bloqueo de avdas JM EGAS y R ICAZA C  sur a norte privando de transporte público a ciudadelas Brisas y Acuarela del Río, Sauces 3 y 4 más sectores aledaños porque algún allegado de alcaldia fue asaltado en bajada de puente alterno;Ecuador, paraiso en la tierra;es;transporte puplico;transporte;si
452;1,48E+18;ggaj82;5/1/2022 16:46;"@Danielsalcan88 las privadas usan el cerebro y antes de que venga el omicron se stockean... los genios del MSP espera que llegue para actuar.... 
pero si aún nadie controla los buses !! jajaja pero si les clavan multa a los negocios privados x no pedir carnet!!";Guayaquil, Ecuador;es;buses;transporte;si
453;1,48E+18;gianpi_almeida;3/1/2022 14:24;Hola @CapiZapataEC @Salud_Ec @LassoGuillermo está bien que pidan carnet para entrar a locales comerciales. ¿Y aquí que pasa? ¿En los buses repletos no hay covid? GENIOS https://t.co/XsreBURw7f;Guayaquil-Ecuador;es;buses;transporte;si
454;1,48E+18;GlendisMarques;28/12/2021 5:46;"@CynthiaViteri6 Mi querida Alcaldesa , 
Quizás usted tiene la mejor predisposición para frentear está pandemia pero lamentablemente los transportes públicos incluyendo metrovia van a full , el virus está latente de nada va a servir si no generamos más movilisas";Guayaquil,ecuador;es;metrovia;transporte;no
455;1,48E+18;gourgusp;31/12/2021 17:37;@pamecaviedes Le hace de la mano en la parada de la metrovía;GUAYAQUIL ;es;metrovia;transporte;no
456;1,48E+18;GRicaurte83;5/1/2022 22:38;@tuiterasanta03 Y la tarjeta de la metro vía también…;Guayaquil, Ecuador;es;la metro;transporte;no
457;1,48E+18;GUILLEARIAS777;2/1/2022 19:23;@Deriel88 @Libertadores @BarcelonaSC Hasta el Once caldas tiene más historía y relevancia en el torneo que el eterno subcampeón o tal vez el cobreloa ecuatoriano JAJAJAJAJAJJAA. Frustración? Pero si LDU fué subcampeón del mundo, nada q envidiar a la hinchada que vende kaumal en los buses. Ah simon chau rosa salvaje;Guayaquil, Ecuador;es;buses;transporte;no
458;1,48E+18;Gyecrudaverdad;31/12/2021 3:38;@Poppymrb Valla al terminal ahí hay unos vehículos denominados buses ud se sube y la llevan donde ud quiera.;Guayaquil, EC;es;buses;transporte;si
459;1,48E+18;hugopilco;31/12/2021 14:49;@radio_pichincha Que chucha les importa MMVs. Se escandalizan por eso y no por los buses @metrovia en Gye, que van repletos y mascarillas de tela que no protegen del contagio ni de contagiar a los demás.;Guayaquil, Ecuador;es;metrovia;transporte;si
460;1,48E+18;hugopilco;31/12/2021 14:49;@radio_pichincha Que chucha les importa MMVs. Se escandalizan por eso y no por los buses @metrovia en Gye, que van repletos y mascarillas de tela que no protegen del contagio ni de contagiar a los demás.;Guayaquil, Ecuador;es;buses;transporte;si
461;1,48E+18;IapmYahir18;5/1/2022 21:30;"@luisantonio_r Existe una hora pico en la que todos los días corren estos buses de manera asesina ..
Recreo de Duran entre la segunda etapa y primera es un caos y un terror ver como en una via de dos carriles uno de ida y otro de venida estos sr vuelan 5 p.m. a 7:30 pm es la carrera.";Duran, Ecuador;es;buses;transporte;si
462;1,48E+18;inmegusa;31/12/2021 2:01;"@JulietaSagnay Con esta clase de gente no se puede ser permisivos! Resultaron ser ""hijos de chavez"" y respondieron que ya se quedaban. Es@s tarad@s hacen lo que les da la gana en el país. Debe ser prohibido que suban a buses sin mascarillas. El problema es que ellos pueden joder al resto! https://t.co/02PYzOJiyY";Guayaquil, Ecuador;es;buses;transporte;si
463;1,48E+18;ivan_maray;5/1/2022 18:37;@luisantonio_r Haga su tarea, investigue quienes son los dueños de los buses...;;es;buses;transporte;si
464;1,48E+18;jbmedinac;4/1/2022 21:55;@kevingushnay Terminal de la metro;Guayaquil, Ecuador;es;la metro;transporte;no
465;1,48E+18;jeffersxxn13;1/1/2022 6:52;Btw de experiencia me queda no salir a vacilar un 31 de tarde y esperar transporte público <U+0001F480>;Cuenca, Ecuador;es;transporte puplico;transporte;no
466;1,48E+18;JeffyGesu;28/12/2021 17:38;@alcaldiagye Evitar aglomeraciones?  Osea evito ir en la Metrovia, allí es el centro de las aglomeraciones a toda hora.;Guayaquil-Ecuador;es;metrovia;transporte;si
467;1,48E+18;jlab_87;3/1/2022 20:30;"Disposición del COE Nacional... pero si en los buses hasta dejan subir sin mascarillas. <U+0001F926>

Este tipo de disposiciones son inútiles conociendo la realidad del país. https://t.co/91wFPsr46Y";Guayaquil, Ecuador;es;buses;transporte;si
468;1,48E+18;jmga1961;5/1/2022 13:50;60 rutas de buses serán canceladas en Carchi https://t.co/wtoizjewN5;Guayaquil, Ecuador;es;buses;transporte;no
469;1,48E+18;jmga1961;31/12/2021 0:05;"Turistas adelantan viajes por fin de año; solo de la terminal terrestre de Guayaquil saldrán unos 3.000 buses en este feriado https://t.co/cb93MjY3g0";Guayaquil, Ecuador;es;buses;transporte;no
470;1,48E+18;jmorrala;30/12/2021 5:28;Solo en mi país, el gobierno no hace nada, solo se llenan los bolsillos y hablan mierdas, donde está el distanciamiento social… donde ??? La metrovia de Guayaquil no respeta nada y la alcaldía no dice nada… https://t.co/COadIDLgvM;Ecuador Guayaquil;es;metrovia;transporte;si
471;1,48E+18;jmorrala;30/12/2021 5:26;Y el distanciamiento social donde queda aquí ? La aglomeración ??? Que son inmunes o la metrovia tiene Desinfeccion por segundo ? https://t.co/wYrEwywtrb;Ecuador Guayaquil;es;metrovia;transporte;si
472;1,48E+18;jmorrala;5/1/2022 19:11;@luisantonio_r Perdón perdón perdón me equivoqué no vi bien, que imprudencia de los choferes profesionales q manejan los buses, se creen reyes de la vía… sanción y cárcel por imprudente;Ecuador Guayaquil;es;buses;transporte;si
473;1,48E+18;Joelallauca99;30/12/2021 14:15;Abro hilo: más de 100 personas aproximadamente estuvimos esperando para realizarnos la dichosa prueba del COVID-19 en el Terminal Río Daule de la metrovía.;Guayas, Ecuador;es;metrovia;transporte;si
474;1,48E+18;joffrecampana;29/12/2021 23:19;Los no vacunados no pueden ingresar a arribos internacionales del aeropuerto, pero sí pueden tomar metrovía e ir a la bahía y mercados.  Genios los del COE. Medidas absurdas. https://t.co/lGosR8C9fP;Guayaquil;es;metrovia;transporte;si
475;1,48E+18;joffrecampana;29/12/2021 23:10;@jjara Ah! El Estado cuidando a kos no vacunados? Brillante. Los no vacunados no se pueden contagiar en metrovía, ni bahías ni mercados. Solo se pueden contagiar en supermaxi, malls y entes públicos. Brillantes.;Guayaquil;es;metrovia;transporte;si
476;1,48E+18;joffrecampana;28/12/2021 14:23;¿Se puede ir a la bahía, mercados de víveres,farmacias, sin estar vacunado? ¿Se puede tomar metrovía y caminar por las calles sin estar vacunado? Entonces,¿No es absurdo que no te dejen entrar al supermaxi? Hay miles de vacunados que están contagiados. Pero ellos sí pueden entrar;Guayaquil;es;metrovia;transporte;si
477;1,48E+18;johnnygj333;4/1/2022 14:47;Que alivio saber que los buses urbanos de #Cuenca están protegidos. Con este sistema de vigilancia queda claro que no les alcanza la plata y por eso el Municipio decidió regalarles 4 centavos por cada pasajero. Gracias!!! https://t.co/DqKHbzZPY2;Cuenca, Ecuador;es;buses;transporte;si
478;1,48E+18;JordiMarthi7377;5/1/2022 14:59;@Educacion_Ec Seria más responsable velar por la salud e integridad de los docentes y  estudiantes que no vivimos en las instituciones sino que nos trasladamos a ellas en buses llenos de gente¡que locura su apuro en las clases presenciales! Y el Coe sin hacer nada  .;Guayaquil, Ecuador;es;buses;transporte;si
479;1,48E+18;jorge_emilio20;5/1/2022 16:01;El gobiernos de turno y GADs empezarán a buscar alternativas para esos metros a reventar, buses con gente en la puerta, trabajos dónde les exigen la asistencia, sin alternativas para mantener la virtualidad y les importa poco o nada las clases trabajadoras.(2/N);Ecuador-Guayaquil;es;buses;transporte;si
480;1,48E+18;jorgeva14770822;5/1/2022 12:45;@teleamazonasec Que van a estar de acuerdo, si los choferes andan sin mascarilla, dejan subir pasajeros sin la misma, llenan los buses a full.;Guayaquil, Ecuador;es;buses;transporte;si
481;1,48E+18;JorgeyMelba;30/12/2021 17:53;@metroviagye Siempre es lo.mismo igual ña.imprudencia son de todos los usuarios como la metro vía se llena el carro ah full eh incluso se demoran;Guayaquil, Ecuador;es;la metro;transporte;si
482;1,48E+18;josebarce1609;28/12/2021 14:52;Según la Metrovia pondrá más buses. Pero de nada sirve si la bahía es un caos. https://t.co/DGOhu422ob;Guayaquil, Ecuador;es;metrovia;transporte;si
483;1,48E+18;josebarce1609;30/12/2021 13:23;@eluniversocom La estupidez más grande de los mamarrachos del coe. Quemar monigote hace daño. Ir en la metro no.. Ir a los malecones no.. Reunirte en tu casa si hace daño. Ir a la playa hace daño. Estar en el centro comercial. Donde cojen billete los grandes empresarios no;Guayaquil, Ecuador;es;la metro;transporte;si
484;1,48E+18;josebaus1;5/1/2022 19:37;@CynthiaViteri6 Estoy d acuerdo q pidan el carne d vacunación en los buses ay mucha gente inconsciente q no s vacuna muy bien q pidan el carnet y cuando saq cualquier papel d trámites l pidan el carnet y si no lo tiene no lo atienda para q sea concient q x uno todo salimos;Guayaquil, Ecuador;es;buses;transporte;si
485;1,48E+18;juanjodager;3/1/2022 1:07;"@ANT_ECUADOR La cooperativa ZARACAY no respeta aforo en buses y recoge gente en el camino, pero si en #Salinas el #CoeNacional  no pudo hacer nada PEOR USTEDES! 
Ojala me equivoque 
Bus ZARACAY disco 05 placas JAA1803 ruta santo domingo Guayaquil.";Guayaquil  Ecuador ;es;buses;transporte;si
486;1,48E+18;juanma_04;4/1/2022 12:44;@jcarlosaizprua Tanto buses urbanos como intraprovinciales. Me tocó viajar y estábamos unas 70 personas en un bus con capacidad para 50 aprox.;Guayaquil, Ecuador;es;buses;transporte;si
487;1,48E+18;JuanPueblo87;28/12/2021 15:53;@CynthiaViteri6 Por que todo aforo de todo lugar se reduce menos el de la metro via ni buses? Esa gente va amontonada y aplastada de lo llenos que van esos carros;Guayaquil ;es;la metro;transporte;si
488;1,48E+18;JuaPablo_Juampy;4/1/2022 19:14;@WRadioec @emov_ep @pedropalaciosu No se entiende a las autoridades. Por denuncias de la ciudadanía, hay se mueven. Pero mientras tanto no hacen nada al respecto. Una foto de la persepcion de como los imaginamos a los caballeros de la EMOV. Los buses a full, vehículos que emanan contaminación. Eso sí no controlan https://t.co/B5mFPdmt0l;Cuenca Ecuador;es;buses;transporte;si
489;1,48E+18;JustWillye;30/12/2021 13:30;@JulietaSagnay A eso quieren llegar finalmente. Como han silenciado a todo quien emita cualquier comentario que perciban homofóbico.  Yo de adolescente en los 70's y muchos amigos sufrimos acoso de homosexuales en transporte público, cines, en la calle. Y sigue sucediendo. Todos callan.;Guayaquil, Ecuador;es;transporte puplico;transporte;si
490;1,48E+18;karybel1978;31/12/2021 2:54;"@CynthiaViteri6 Sra. Alcadesa le solicito encarecidamente ponga atención al servicio de metrovia , mas frecuencias de buses ; deben darle mantenimiento a las paradas y buses . Ilogico me parece que se mantenga distancia y a la hora de subir a buses va tan lleno y todos ahi , no hay distancia.";Daule, Ecuador;es;metrovia;transporte;si
491;1,48E+18;karybel1978;31/12/2021 2:54;"@CynthiaViteri6 Sra. Alcadesa le solicito encarecidamente ponga atención al servicio de metrovia , mas frecuencias de buses ; deben darle mantenimiento a las paradas y buses . Ilogico me parece que se mantenga distancia y a la hora de subir a buses va tan lleno y todos ahi , no hay distancia.";Daule, Ecuador;es;buses;transporte;si
492;1,48E+18;karynaarteaga;5/1/2022 1:02;Y esto no es coartar la libertad e imponer la vacunación? El carnet dice “voluntario” por lo tanto no pueden pedirlo para ingresar a los lugares y usar el transporte público. Completamente fuera de coherencia. @DEFENSORIAEC https://t.co/simDN4HW63;Guayaquil, Ecuador;es;transporte puplico;transporte;si
493;1,48E+18;KCH_FM;5/1/2022 12:11;"Ing. Marcelo Cabrera (@MarceloHCabrera), ministro de Transporte y Obras Públicas:

""La competencia de los municipios debe ser completa, en #Guayaquil exhortamos a que la alcaldía trabaje en la revisión de la tarifa de buses urbanos""

En Vivo <U+27A1><U+FE0F> https://t.co/oHwULnyY8A https://t.co/BzWwP6aOok";Guayaquil- Ecuador;es;buses;transporte;no
494;1,48E+18;KCH_FM;5/1/2022 16:05;"Ing. Marcelo Cabrera (@MarceloHCabrera), ministro de Transporte y Obras Públicas, expresó que es decisión de cada municipio subir el pasaje o subsidiar el valor de la tarifa de buses urbanos

#KCHNoticias <U+0001F399><U+FE0F><U+0001F4FD><U+FE0F> https://t.co/Z8qcUZnlVz";Guayaquil- Ecuador;es;buses;transporte;no
495;1,48E+18;KevinRugel;5/1/2022 20:34;@Diegordinola Desde el inicio de criticó ese contrato. La realidad es que tiraron tanto humo con GolTv que lo convencieron hasta al incrédulo. Y los buses para las divisiones formativas? Quedaron en el aire.;Guayaquil, Ecuador;es;buses;transporte;si
496;1,48E+18;KleverCalle;30/12/2021 21:53;La solución es caminar, andar en <U+0001F6B4><U+200D><U+2640><U+FE0F> y construir un buen transporte público <U+0001F6F8> https://t.co/tkc8ADfgeq;Cuenca, Ecuador;es;transporte puplico;transporte;no
497;1,48E+18;Kurtingo13;4/1/2022 23:15;Y los buses siguen están repletos!! <U+0001F620>;Guayaquil, Ecuador;es;buses;transporte;si
498;1,48E+18;La_Pancha_81;3/1/2022 21:36;Y que respeten el aforo también. Van los buses full, o en su defecto, paran para subir más gente. Y no controlan el uso de mascarilla tampoco. @CapiZapataEC https://t.co/4FaAfk1YTT;En el país de las maravillas;es;buses;transporte;si
499;1,48E+18;lenintorres13;28/12/2021 12:12;Si algo nos ha enseñado esta pandemia <U+0001F637>, es a ventilar los ambientes , sea en su casa, oficina, transporte público , etc, etc, etc…;Guayaquil, Ecuador;es;transporte puplico;transporte;si
500;1,48E+18;LeonelFuentesS;30/12/2021 15:49;"Superemos el bla, bla de Glasgow en el 2022
<U+0001F4E3>Aquí 5 gestos para ayudar al planeta: 1 Ahorra agua y luz, 2 Evita envases plásticos 3 Utiliza movilidad sostenible o transporte público 4 Recicla todo 5 Planta árboles https://t.co/KseetVKTOj Todas nuestras fuerzas enfocadas en los<U+0001F447> https://t.co/feH4tUytqJ";Ecuador;es;transporte puplico;transporte;no
501;1,48E+18;leparechi;30/12/2021 13:26;"La Aerovia no será viable mientras no retiren todos los vehículos de transporte público q cruzan de Duran a Guayaquil y viceversa por el puente de Unidad Nacional,así fue conceptuado el proyecto. 
El objetivo era descongestionar,ser más eco sustentable,mejorar tiempos y servicios https://t.co/MB9Z59A9A7";Guayaquil, Ecuador;es;transporte puplico;transporte;si
502;1,48E+18;lesanchezv;4/1/2022 4:33;"Exigir carnet de vacunación para entrar a un mall o a un restaurante, peor aún para el transporte público, sin estado de excepción o ley orgánica (según expertos) es INCONSTITUCIONAL.

@Salud_Ec @Riesgos_Ec";Guayaquil, Ecuador;es;transporte puplico;transporte;si
503;1,48E+18;LilianpgA;30/12/2021 21:52;@saucinc Están funcionando los buses eléctricos?;Guayaquil;es;buses;transporte;no
504;1,48E+18;linea_ec;4/1/2022 14:48;"El #COENacional solicitó a la #ANT crear un protocolo para controlar el ingreso de pasajeros con certificado de  #vacunación anticovid en el tema de transporte público.

Los controles serán específicamente en el ingreso, debido al crecimiento de casos de #Covid19.

#Guayaquil https://t.co/OOZWBth1Su";Guayaquil, Ecuador;es;transporte puplico;transporte;si
505;1,48E+18;locovaldez94;2/1/2022 21:51;"@feder_75 @CynthiaViteri6 @Salud_Ec @tctelevision @ecuavisa Están creciendo los casos de escopolamina, se ven mucho en los buses interprovinciales...

La @PoliciaEcuador  no hace nada, @FiscaliaEcuador  ni le interesa";guayaquil;es;buses;transporte;si
506;1,48E+18;luarpa47;5/1/2022 16:56;@bessygranjaOK De q se sorprenden? La metrovía es peor y ahí no dicen nada;Durán, Ecuador;es;metrovia;transporte;si
507;1,48E+18;luis_ugalde;3/1/2022 16:17;"@CTEcuador @radio_sucre700 @complicefm @ANT_ECUADOR @carloeloy @ObrasPublicasEc @eluniversocom @Expresoec el alcance d ese control lo hacen también a velocidad q reporta el GPS del transporte público interporvincial? 
CUALQUIER bus d este tipo NO DEBE SUPERAR los 70 Km/h en la ciudad sin embargo,en la autopista Narcisa de Jesús van a más de 90 Km/h.
Al menos sanciones administrativas";Guayaquil, Ecuador;es;transporte puplico;transporte;no
508;1,48E+18;LuisAlm40416493;28/12/2021 21:35;Metrovía a full buses a full y quién controla está pendejada;Guayaquil, Ecuador;es;metrovia;transporte;si
509;1,48E+18;LuisAlm40416493;28/12/2021 21:33;@metroviagye @alcaldiagye donde está el distanciamiento metrovía a full y el personal no sirve para nada cierran negocios pero no suspenden los buses y metrovía increíble https://t.co/m7s8NCXHLt;Guayaquil, Ecuador;es;metrovia;transporte;si
510;1,48E+18;LuisBrice54;28/12/2021 18:21;@LassoGuillermo @Salud_Ec Señor Guillermo Lasso, la vacunacion no sirve de nada la poblacion esta nuevamente contagiada de covid-19 sobretodo en Guayaquil, ya que no solucionan el probllema del transporte publico que trabajan pocas unidades donde los  pasajeros van como sardinas.;Guayaquil - Ecuador;es;transporte puplico;transporte;si
511;1,48E+18;LuisCubillosGye;31/12/2021 15:46;"3/5
2. Sistema METROVIA 10 años de retraso, funcionan solo 3 de las 7 troncales planificadas.
3. Construcción de AEROVIA inversión innecesaria, NO contribuye al transporte urbano, DERROCHE y negociado por lo que el MUNICIPIO debe responder. @RonnyAleagaS @jimmyjairala @RC5Oficial https://t.co/M6XUp9vFFu";Guayaquil Ecuador;es;metrovia;transporte;no
512;1,48E+18;LuisCubillosGye;31/12/2021 15:46;"2/5
Los problemas de la transportación urbana en GUAYAQUIL son más graves que buses parados desde hace un mes.
1. METROVIA quebrada es subsidiada por MUNICIPIO para que siga funcionando. 
@Lidicealdas64 @jimmyjairala @RonnyAleagaS @Blankimonki @ForoPolitecnico @parischiquitoo https://t.co/HS0EnBeepp";Guayaquil Ecuador;es;metrovia;transporte;no
513;1,48E+18;LuisCubillosGye;31/12/2021 15:46;"4/5
4. BUSES más de los necesarios, NO hemos sentido el PARO del 50%; buses urbanos a ciertas horas circulan semi-vacios, contaminando y dificultando la circulación.
5. Taxis, taxi-ruta, taxi informal y tricimoto también deben ser parte de la solucion.
@Lidicealdas64 @Blankimonki https://t.co/iwAwL6xcZM";Guayaquil Ecuador;es;buses;transporte;no
514;1,48E+18;LuisCubillosGye;31/12/2021 15:46;"2/5
Los problemas de la transportación urbana en GUAYAQUIL son más graves que buses parados desde hace un mes.
1. METROVIA quebrada es subsidiada por MUNICIPIO para que siga funcionando. 
@Lidicealdas64 @jimmyjairala @RonnyAleagaS @Blankimonki @ForoPolitecnico @parischiquitoo https://t.co/HS0EnBeepp";Guayaquil Ecuador;es;buses;transporte;no
515;1,48E+18;LuisLBSC;2/1/2022 22:47;"En el 2021 irónicamente hacia ese chiste de ""para el Coe el covid no sabe coger metrovia, el aforo ahí no es para nada controlado"" y cuando me toco coger metrovía fue cuando me contagie de covid, la vida a veces funciona de formas valevergu1st4s";Guayaquil;es;metrovia;transporte;si
516;1,48E+18;luispalacios114;5/1/2022 22:19;"@. De 5 a 6 y media , se da el regreso de los trabajadores que vienen de las parroquias rurales (Sinincay, Ricaurte, El Valle )  los  buses van repletos , sin aforo alguno ; los choferes por unos dólares más no les importa la Salud de la gente . Allí Sr. están los contagios . https://t.co/KfylEcGj0D";Cuenca, Ecuador;es;buses;transporte;si
517;1,48E+18;luispalacios114;5/1/2022 13:04;"@. Ud como buena periodista puede ayudar a la contención del Covid ; Los buses en horas  de la tarde están llevando gente a las parroquias rurales AMONTONADAS , la EMOV Y GUADIA CIUDADANA NO CONTROLAN LA IRRESPONSABILIDAD DE LOS BUSEROS...Y EL ALCALDE NADA.... https://t.co/Qyjs9ePXjE";Cuenca, Ecuador;es;buses;transporte;si
518;1,48E+18;LuisTupuma;5/1/2022 2:53;@luisantonio_r Eso hacen todos los días, tanto MOTOS, TAXIS Y BUSES, creo yo que si pusieran cámaras en todos los semáforos y repartan  multas a todos los que irrespetan las señales de tránsito, o se hacen millonarios la ATM o aprenden a conducir;Guayaquil;es;buses;transporte;si
519;1,48E+18;machizaca;30/12/2021 19:36;@eluniversocom Oses para la prenda y el coe esta bien la aglomeración en las playas... Osea pueblo no puede quemar monigotes ni tener una reunión en casa... Y también esta bien la metro q vaya llena... Payasos estos del coe;Ecuador, Guayaquil;es;la metro;transporte;si
520;1,48E+18;MaElenaSanchezT;4/1/2022 19:42;@indiraarmijos @LassoGuillermo @Salud_Ec es que vi que quieren pedir el carnet en los buses ...;Guayaquil - Ecuador.;es;buses;transporte;si
521;1,48E+18;MaElenaSanchezT;4/1/2022 19:26;deberían darnos carnets de vacunación con cinta magnética, como la tarjeta de débito, para pasarlo por una maquinita (?¿?¿) o aparatos que lean el código QR  , ya que quieren pedirlo en los buses #Covid_19  #Ecuador @LassoGuillermo @Salud_Ec;Guayaquil - Ecuador.;es;buses;transporte;si
522;1,48E+18;MAlvarez67;4/1/2022 1:09;"@LaPosta_Ecu De qué sirve, primero NO revisan si es de la persona y segundo buses y metro-sardinas van repletas... chóferes irresponsables que NO usan mascarilla, ni los ayudantes<U+0001F612>
Entonces una ""payasada"" del COE, en la que Zapata debe irse y sin despedirse, porque no ata ni desata <U+0001F612>";Guayaquil, Ecuador;es;buses;transporte;si
523;1,48E+18;MarceloHCabrera;5/1/2022 1:16;"Junto a @ANT_ECUADOR, elaboramos la metodología para definir la tarifa del transporte urbano.
El transporte público de pasajeros debe brindar servicios de calidad y tarifas accesibles, por eso, ahora los municipios tienen una herramienta.
#JuntosLoLogramos https://t.co/2AAgnFZvAW";Cuenca-Ecuador.;es;transporte puplico;transporte;no
524;1,48E+18;MARCEROSE;3/1/2022 20:21;@LaPosta_Ecu No respetan y llenan los buses full ,y creen q el chófer revisar el carnet <U+0001F923><U+0001F923><U+0001F923><U+0001F923><U+0001F923>;Guayaquil, Ecuador;es;buses;transporte;si
